Type,Value,Malware Reference,Source name,Source link
ip,100.43.220.234,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,96.80.68.193,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,188.152.254.170,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,208.81.37.50,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,70.62.153.174,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,2.230.110.137,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,90.63.245.175,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,212.103.208.182,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,50.255.126.65,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,78.134.89.167,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,81.4.177.118,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,24.199.247.222,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,37.99.163.162,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,37.71.147.186,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,105.159.248.137,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,80.155.38.210,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,217.57.80.18,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,151.0.169.250,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,212.202.147.10,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,212.234.179.113,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,185.82.169.99,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,93.51.177.66,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,80.15.113.188,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,80.153.75.103,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
ip,109.192.30.125,Cyclops Blink,UK NCSC,https://www.ncsc.gov.uk/files/Cyclops-Blink-Malware-Analysis-Report.pdf
url,https[:]//cdn.discordapp.com/attachments/928503440139771947/930108637681184768/Tbopbh.jpg,WhisperGate,PaloAlto,https://unit42.paloaltonetworks.com/ukraine-cyber-conflict-cve-2021-32648-whispergate/
ip,5.182.211.5,Katana,Cadosecurity,https://www.cadosecurity.com/technical-analysis-of-the-ddos-attacks-against-ukrainian-websites/
url,http://5.182.211[.]5/rip.sh,Katana,Cadosecurity,https://www.cadosecurity.com/technical-analysis-of-the-ddos-attacks-against-ukrainian-websites/
domain,3237.site,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,abrumpere.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,abrusa.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,absinthiuma.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,abyssinica.website,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acaciana.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acantholyda.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acanthophis.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,accordan.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,account-google.site,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acetica.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acetica.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acetobacter.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acetobacter.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,achalinus.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,achilleas.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acidop.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acorusis.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acrididae.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acrididae.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acridoxena.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acteran.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acteraon.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,acterium.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,aculeatus.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,adblocked.space,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,adeltorr.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,adleer.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,admin-gmail.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,adonisi.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,adonisis.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,aerogenosa.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,aethusas.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,agamat.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,agaricusa.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,agarisi.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,akowaika.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,akunir.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alacritas.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,albatrellus.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alburnus.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alebont.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alibetar.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alicui.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,aligatou.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alligatori.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,almenar.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alpiniar.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alseid.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,althaean.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alvarados.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,alytes.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,amaniwa.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,amarus.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,ambystoma.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,amieteku.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,ammoniacum.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anainat.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anamirtat.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anaraq.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anatara.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anguisa.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anisoptera.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anisoptera.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anits.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anolis.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,antarcticus.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,anthriscus.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,apaturinae.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,apaturinae.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,apidaet.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,apidaet.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,apoxipodes.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,apusa.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,apusi.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arachnidas.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arachnidas.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,aradewa.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,archaicus.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,archiepiscopus.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arctiidae.online,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arctiidae.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,ardinvest.site,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arianat.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arianos.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,ariuma.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,artemisian.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,artisola.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arvalis.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,arvensis.xyz,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
domain,asdorta.ru,-,Orange Cyber Defense,https://github.com/Orange-Cyberdefense/russia-ukraine_IOCs/blob/main/OCD-Datalake-russia-ukraine_IOCs-ALL.csv
